Entity,Code,Year,"Poorest decile - Threshold (Disposable household income, equivalized)","2nd decile - Threshold (Disposable household income, equivalized)","3rd decile - Threshold (Disposable household income, equivalized)","4th decile - Threshold (Disposable household income, equivalized)","5th decile - Threshold (Disposable household income, equivalized)","6th decile - Threshold (Disposable household income, equivalized)","7th decile - Threshold (Disposable household income, equivalized)","8th decile - Threshold (Disposable household income, equivalized)","Richest decile - Threshold (Disposable household income, equivalized)"
United States,USA,1963,8033.44,12495.43,15996.22,19052.97,21984.07,25067.68,28898,34046.79,43107.3
United States,USA,1964,8463.82,12954.22,16655.94,19839.54,22935.99,26243.75,30415.05,35813.82,45487.52
United States,USA,1965,8868.65,13718.28,17538.17,20758.35,24205.96,27780.26,31980.51,37736.15,47462.18
United States,USA,1966,9291.46,14257.79,18049.02,21467.06,24798.86,28533.62,32757.11,38759.46,48509.3
United States,USA,1967,9832.94,14810.09,18626.32,22099.35,25549.63,29191.74,33750.08,39780.24,50012.29
United States,USA,1968,10437.88,15509.34,19540.23,23038.61,26634.79,30284.71,34878.41,41047.8,51175.22
United States,USA,1969,10868.34,16011.91,20103.04,23716.08,27331.43,31201.23,35890.81,42000.8,52641.68
United States,USA,1970,10514.32,15659.77,19792.11,23480.45,27159.73,31289,36052.7,42410.54,53080.94
United States,USA,1971,10566.16,15561.27,19711.83,23641.22,27483.04,31660.54,36516.88,43275.16,54286.52
United States,USA,1972,10936.76,16404.46,20990.47,25221.65,29295.94,33827.35,38936.79,45755.5,57605.81
United States,USA,1973,11267.82,16895.35,21508.56,25669.63,29616.57,34196.9,39544.05,46513.75,57777.23
United States,USA,1974,11072.69,16304.41,20858,24814.95,28725.76,32940.77,37879.98,44559.09,55444.08
United States,USA,1975,11074.79,16246.56,20583.2,24658.53,28755.28,32946.68,37896.37,44390.21,55016.86
United States,USA,1976,11365.26,16705.21,21096.7,25353.94,29569.74,34010.21,39115.38,45568.18,56265.45
United States,USA,1977,11622.09,17000.9,21407.61,25530.16,29614.14,34000.61,38991.77,45411.66,55745.44
