Entity,Code,Year,Population - Sex: all - Age: all - Variant: estimates
United States,USA,1950,154202632
United States,USA,1951,156481263
United States,USA,1952,158794170
United States,USA,1953,161168268
United States,USA,1954,163636251
United States,USA,1955,166199979
United States,USA,1956,168824918
United States,USA,1957,171499183
United States,USA,1958,174215249
United States,USA,1959,177145721
United States,USA,1960,180274505
United States,USA,1961,183489436
United States,USA,1962,186724236
United States,USA,1963,189825167
United States,USA,1964,192819400
United States,USA,1965,195653733
United States,USA,1966,198265356
United States,USA,1967,200699861
United States,USA,1968,203010975
United States,USA,1969,205299986
United States,USA,1970,207796288
United States,USA,1971,210426379
United States,USA,1972,212842531
United States,USA,1973,215006504
United States,USA,1974,217076422
United States,USA,1975,219129243
United States,USA,1976,221168704
United States,USA,1977,223259362
United States,USA,1978,225396049
United States,USA,1979,227575037
United States,USA,1980,229858606
United States,USA,1981,232201562
United States,USA,1982,234583103
United States,USA,1983,236986311
United States,USA,1984,239353915
United States,USA,1985,241690387
United States,USA,1986,243953759
United States,USA,1987,246161249
United States,USA,1988,248393183
United States,USA,1989,250674998
United States,USA,1990,253373337
United States,USA,1991,256471373
United States,USA,1992,259605966
United States,USA,1993,262633187
United States,USA,1994,265474761
United States,USA,1995,268205740
United States,USA,1996,270860655
United States,USA,1997,273467966
United States,USA,1998,276119277
United States,USA,1999,278785441
United States,USA,2000,281484082
United States,USA,2001,284279583
United States,USA,2002,287084300
United States,USA,2003,289908046
United States,USA,2004,292786200
United States,USA,2005,295716618
United States,USA,2006,298730164
United States,USA,2007,301844176
United States,USA,2008,304970280
United States,USA,2009,308023398
United States,USA,2010,311062741
United States,USA,2011,314105041
United States,USA,2012,317115301
United States,USA,2013,320110710
United States,USA,2014,323115328
United States,USA,2015,326126448
United States,USA,2016,329179362
United States,USA,2017,332204602
United States,USA,2018,335056439
United States,USA,2019,337790020
United States,USA,2020,339436106
United States,USA,2021,340161392
United States,USA,2022,341533996
United States,USA,2023,343477286
