"Samuel H. Williamson, 'What Was the U.S. GDP Then?' MeasuringWorth, 2025."
"Year","Nominal GDP (million of Dollars)"
"1790","193"
"1791","210"
"1792","230"
"1793","256"
"1794","321"
"1795","390"
"1796","423"
"1797","415"
"1798","418"
"1799","447"
"1800","486"
"1801","520"
"1802","456"
"1803","493"
"1804","538"
"1805","567"
"1806","624"
"1807","595"
"1808","653"
"1809","694"
"1810","714"
"1811","776"
"1812","795"
"1813","980"
"1814","1,090"
"1815","935"
"1816","828"
"1817","777"
"1818","745"
"1819","735"
"1820","718"
"1821","742"
"1822","816"
"1823","767"
"1824","762"
"1825","832"
"1826","876"
"1827","925"
"1828","907"
"1829","940"
"1830","1,032"
"1831","1,065"
"1832","1,142"
"1833","1,172"
"1834","1,233"
"1835","1,358"
"1836","1,497"
"1837","1,574"
"1838","1,618"
"1839","1,685"
"1840","1,590"
"1841","1,678"
"1842","1,646"
"1843","1,595"
"1844","1,741"
"1845","1,899"
"1846","2,113"
"1847","2,476"
"1848","2,496"
"1849","2,488"
"1850","2,656"
"1851","2,799"
"1852","3,143"
"1853","3,383"
"1854","3,789"
"1855","4,048"
"1856","4,103"
"1857","4,241"
"1858","4,151"
"1859","4,475"
"1860","4,410"
"1861","4,673"
"1862","5,881"
"1863","7,746"
"1864","9,600"
"1865","10,012"
"1866","9,098"
"1867","8,465"
"1868","8,261"
"1869","8,009"
"1870","7,899"
"1871","7,751"
"1872","8,402"
"1873","8,936"
"1874","8,659"
"1875","8,331"
"1876","8,482"
"1877","8,700"
"1878","8,555"
"1879","9,555"
"1880","10,592"
"1881","11,902"
"1882","12,519"
"1883","12,640"
"1884","12,107"
"1885","11,925"
"1886","12,549"
"1887","13,565"
"1888","14,332"
"1889","14,338"
"1890","15,607"
"1891","15,944"
"1892","16,920"
"1893","15,934"
"1894","14,606"
"1895","16,114"
"1896","15,990"
"1897","16,666"
"1898","18,663"
"1899","20,119"
"1900","21,197"
"1901","22,931"
"1902","24,754"
"1903","26,647"
"1904","26,360"
"1905","29,523"
"1906","31,794"
"1907","34,639"
"1908","30,797"
"1909","32,540"
"1910","33,746"
"1911","34,675"
"1912","37,745"
"1913","39,517"
"1914","36,831"
"1915","39,048"
"1916","50,117"
"1917","60,278"
"1918","76,567"
"1919","79,090"
"1920","89,246"
"1921","74,314"
"1922","74,140"
"1923","86,238"
"1924","87,786"
"1925","91,449"
"1926","97,885"
"1927","96,466"
"1928","98,305"
"1929","104,556"
"1930","92,160"
"1931","77,391"
"1932","59,522"
"1933","57,154"
"1934","66,800"
"1935","74,241"
"1936","84,830"
"1937","93,003"
"1938","87,352"
"1939","93,437"
"1940","102,899"
"1941","129,309"
"1942","165,952"
"1943","203,084"
"1944","224,447"
"1945","228,007"
"1946","227,535"
"1947","249,616"
"1948","274,468"
"1949","272,475"
"1950","299,827"
"1951","346,914"
"1952","367,341"
"1953","389,218"
"1954","390,549"
"1955","425,478"
"1956","449,353"
"1957","474,039"
"1958","481,229"
"1959","521,654"
"1960","542,382"
"1961","562,209"
"1962","603,922"
"1963","637,450"
"1964","684,460"
"1965","742,289"
"1966","813,414"
"1967","859,959"
"1968","940,651"
"1969","1,017,615"
"1970","1,073,303"
"1971","1,164,850"
"1972","1,279,110"
"1973","1,425,376"
"1974","1,545,243"
"1975","1,684,904"
"1976","1,873,412"
"1977","2,081,826"
"1978","2,351,599"
"1979","2,627,333"
"1980","2,857,307"
"1981","3,207,041"
"1982","3,343,789"
"1983","3,634,038"
"1984","4,037,613"
"1985","4,338,979"
"1986","4,579,631"
"1987","4,855,215"
"1988","5,236,438"
"1989","5,641,580"
"1990","5,963,144"
"1991","6,158,129"
"1992","6,520,327"
"1993","6,858,559"
"1994","7,287,236"
"1995","7,639,749"
"1996","8,073,122"
"1997","8,577,552"
"1998","9,062,817"
"1999","9,631,172"
"2000","10,250,952"
"2001","10,581,929"
"2002","10,929,108"
"2003","11,456,450"
"2004","12,217,196"
"2005","13,039,197"
"2006","13,815,583"
"2007","14,474,228"
"2008","14,769,862"
"2009","14,478,067"
"2010","15,048,971"
"2011","15,599,732"
"2012","16,253,970"
"2013","16,880,683"
"2014","17,608,138"
"2015","18,295,019"
"2016","18,804,913"
"2017","19,612,102"
"2018","20,656,516"
"2019","21,539,980"
"2020","21,354,110"
