"sec_title_lyx","sec_title_rmd","match_type","lyx_figs","rmd_figs","lyx_tabs","rmd_tabs","lyx_cits","rmd_cits","lyx_paras","rmd_paras","lyx_words","rmd_words","lyx_ch","lyx_title","rmd_title","ch_title_ok","ratio_figs","ratio_tabs","ratio_paras","ratio_words","flag"
"__chapter_level__","__chapter_level__","title",0,0,0,0,0,0,3,2,151,87,0,"Author's Preface & Acknowledgments","Author's preface",TRUE,1,1,0.67,0.58,FALSE
"What you will learn","What you will learn","conflict",0,0,0,0,0,0,6,6,226,226,0,"Author's Preface & Acknowledgments","Author's preface",TRUE,1,1,1,1,TRUE
"Thanks!","Thanks!","conflict",0,0,0,0,0,0,6,2,57,69,0,"Author's Preface & Acknowledgments","Author's preface",TRUE,1,1,0.33,1.21,TRUE
"__chapter_level__","__chapter_level__","title",0,0,0,0,0,0,1,1,11,11,1,"Why math?","Why math?",TRUE,1,1,1,1,FALSE
"Mathematics in Social Science","Mathematics in Social Science","title",0,0,0,0,0,0,4,4,221,221,1,"Why math?","Why math?",TRUE,1,1,1,1,FALSE
"Measure,","Measure, theorize, compare","position",0,0,0,0,3,0,29,5,1737,37,1,"Why math?","Why math?",TRUE,1,1,0.17,0.02,TRUE
"Why Calculate","Why Calculate","conflict",1,0,0,0,0,0,11,1,622,47,1,"Why math?","Why math?",TRUE,0,1,0.09,0.08,TRUE
"Tips for your studies","Tips for your studies","conflict",0,0,0,0,0,0,10,1,423,8,1,"Why math?","Why math?",TRUE,1,1,0.1,0.02,TRUE
"__chapter_level__","__chapter_level__","title",0,0,0,0,0,0,1,1,35,35,2,"Basics","Basics",TRUE,1,1,1,1,FALSE
"Different types of numbers","Different types of numbers","title",1,1,0,1,0,1,8,20,509,784,2,"Basics","Basics",TRUE,1,NA,2.5,1.54,TRUE
"The four arithmetic operations","The four arithmetic operations","title",0,0,0,0,0,0,6,19,316,392,2,"Basics","Basics",TRUE,1,1,3.17,1.24,TRUE
"Order of operations","Order of operations","title",0,0,0,0,0,3,10,30,564,642,2,"Basics","Basics",TRUE,1,1,3,1.14,TRUE
"Parentheses","Parentheses","title",0,0,0,0,0,0,11,26,343,462,2,"Basics","Basics",TRUE,1,1,2.36,1.35,TRUE
"Equality and inequality","Equality and inequality","title",0,0,0,0,0,0,7,16,378,482,2,"Basics","Basics",TRUE,1,1,2.29,1.28,TRUE
"Fractions","Fractions","title",0,0,0,0,0,0,12,36,398,659,2,"Basics","Basics",TRUE,1,1,3,1.66,TRUE
"Least common denominator","Least common denominator","title",0,0,0,0,0,0,2,25,380,639,2,"Basics","Basics",TRUE,1,1,12.5,1.68,TRUE
"Powers","Powers","title",1,1,1,6,0,3,19,46,948,1252,2,"Basics","Basics",TRUE,1,6,2.42,1.32,TRUE
"Parentheses with powers","Parentheses with powers","title",0,0,0,0,0,2,10,20,159,295,2,"Basics","Basics",TRUE,1,1,2,1.86,TRUE
"Factorization and divisibility","Factorization and divisibility","title",0,0,0,0,0,3,14,26,528,796,2,"Basics","Basics",TRUE,1,1,1.86,1.51,TRUE
"Sum","Sum","title",0,0,0,0,0,2,4,10,175,365,2,"Basics","Basics",TRUE,1,1,2.5,2.09,TRUE
"Median","Median","title",0,0,0,2,0,2,4,9,198,290,2,"Basics","Basics",TRUE,1,NA,2.25,1.46,TRUE
"Mean","Mean","title",0,0,0,0,0,0,5,10,141,214,2,"Basics","Basics",TRUE,1,1,2,1.52,TRUE
"Weighted mean","Weighted mean","title",0,0,0,0,0,0,4,9,218,327,2,"Basics","Basics",TRUE,1,1,2.25,1.5,TRUE
"Percent and per mille","Percent and per mille","title",0,0,1,9,0,1,9,20,429,518,2,"Basics","Basics",TRUE,1,9,2.22,1.21,TRUE
"Combinatorics","Combinatorics","title",0,0,0,0,0,3,21,48,1095,1388,2,"Basics","Basics",TRUE,1,1,2.29,1.27,TRUE
"Chapter summary","Chapter summary","title",0,0,0,0,0,0,0,6,0,327,2,"Basics","Basics",TRUE,1,1,NA,NA,FALSE
"Exercises","Exercises","title",0,0,0,0,0,0,1,1,5,458,2,"Basics","Basics",TRUE,1,1,1,91.6,TRUE
"__chapter_level__","__chapter_level__","title",0,0,0,0,0,0,1,1,16,16,3,"Examples with Applications","Examples with Applications",TRUE,1,1,1,1,FALSE
"Interest","Interest","title",0,0,0,0,0,2,3,5,200,280,3,"Examples with Applications","Examples with Applications",TRUE,1,1,1.67,1.4,TRUE
"Interest on interest","Interest on interest","title",0,0,1,6,0,1,13,25,355,579,3,"Examples with Applications","Examples with Applications",TRUE,1,6,1.92,1.63,TRUE
"Effective interest","Effective interest","title",0,0,0,0,0,0,5,10,269,392,3,"Examples with Applications","Examples with Applications",TRUE,1,1,2,1.46,TRUE
"Index","Index","title",1,1,1,3,0,3,9,17,242,374,3,"Examples with Applications","Examples with Applications",TRUE,1,3,1.89,1.55,TRUE
"Population index","Population index","title",0,0,3,7,0,5,6,18,278,341,3,"Examples with Applications","Examples with Applications",TRUE,1,2.33,3,1.23,TRUE
"Income index","Income index","title",0,0,2,14,0,2,3,6,123,221,3,"Examples with Applications","Examples with Applications",TRUE,1,7,2,1.8,TRUE
"Adjust prices and wages for inflation","Adjust prices and wages for inflation","title",0,0,0,0,0,1,10,15,703,844,3,"Examples with Applications","Examples with Applications",TRUE,1,1,1.5,1.2,FALSE
"Economic growth","Economic growth","title",0,0,3,15,0,4,9,21,398,600,3,"Examples with Applications","Examples with Applications",TRUE,1,5,2.33,1.51,TRUE
"Child mortality","Child mortality","title",0,0,1,7,0,1,5,10,180,228,3,"Examples with Applications","Examples with Applications",TRUE,1,7,2,1.27,TRUE
"Chapter summary","Chapter summary","title",0,0,0,0,0,0,0,7,0,346,3,"Examples with Applications","Examples with Applications",TRUE,1,1,NA,NA,FALSE
"Exercises","Exercises","title",0,0,0,0,0,0,0,1,0,900,3,"Examples with Applications","Examples with Applications",TRUE,1,1,NA,NA,FALSE
"__chapter_level__","__chapter_level__","title",0,0,0,0,0,0,1,1,75,75,4,"Functions and graphs","Functions and graphs",TRUE,1,1,1,1,FALSE
"Mathematical functions","Mathematical functions","title",0,0,1,6,0,4,7,19,391,739,4,"Functions and graphs","Functions and graphs",TRUE,1,6,2.71,1.89,TRUE
"Function as theory","Function as theory","title",0,0,0,0,0,2,7,13,495,635,4,"Functions and graphs","Functions and graphs",TRUE,1,1,1.86,1.28,TRUE
"Coordinate system and graphs","Coordinate system and graphs","title",3,3,0,0,0,4,8,10,509,683,4,"Functions and graphs","Functions and graphs",TRUE,1,1,1.25,1.34,FALSE
"Equation of a straight line","Equation of a straight line","title",3,3,0,0,0,5,13,24,756,1225,4,"Functions and graphs","Functions and graphs",TRUE,1,1,1.85,1.62,TRUE
"Solve for","Solve for $ x $","position",0,0,0,0,0,0,7,33,628,771,4,"Functions and graphs","Functions and graphs",TRUE,1,1,4.71,1.23,TRUE
"Linear equations","Linear equations","title",1,1,0,0,0,1,2,9,95,256,4,"Functions and graphs","Functions and graphs",TRUE,1,1,4.5,2.69,TRUE
"A bit of set theory","A bit of set theory","title",1,1,0,0,0,3,20,40,710,1584,4,"Functions and graphs","Functions and graphs",TRUE,1,1,2,2.23,TRUE
"Domain for a function","Domain for a function","title",0,0,0,0,0,1,6,15,222,488,4,"Functions and graphs","Functions and graphs",TRUE,1,1,2.5,2.2,TRUE
"Combining functions with operations","Combining functions with operations","title",0,0,0,0,0,1,13,28,253,440,4,"Functions and graphs","Functions and graphs",TRUE,1,1,2.15,1.74,TRUE
"Chapter summary","Chapter summary","title",0,0,0,0,0,0,0,10,0,580,4,"Functions and graphs","Functions and graphs",TRUE,1,1,NA,NA,FALSE
"Exercises","Exercises","title",0,0,0,0,0,0,0,1,0,629,4,"Functions and graphs","Functions and graphs",TRUE,1,1,NA,NA,FALSE
"__chapter_level__","__chapter_level__","title",0,0,0,0,0,0,1,1,7,43,5,"Logarithms","Logarithms",TRUE,1,1,1,6.14,TRUE
"Base,","Base, exponent, logarithm","position",0,0,0,0,0,1,6,12,262,329,5,"Logarithms","Logarithms",TRUE,1,1,2,1.26,TRUE
"The common logarithm","The common logarithm","title",0,0,0,0,0,0,7,18,237,407,5,"Logarithms","Logarithms",TRUE,1,1,2.57,1.72,TRUE
"Properties of logarithms","Properties of logarithms","title",0,0,0,0,0,0,7,14,101,182,5,"Logarithms","Logarithms",TRUE,1,1,2,1.8,TRUE
"Natural logarithm","Natural logarithm","title",0,0,0,0,0,1,7,16,210,380,5,"Logarithms","Logarithms",TRUE,1,1,2.29,1.81,TRUE
"Change of base for logarithms","Change of base for logarithms","title",0,0,0,0,0,0,5,14,182,371,5,"Logarithms","Logarithms",TRUE,1,1,2.8,2.04,TRUE
"Using natural log to calculate percentage change","Using natural log to calculate percentage change","title",0,0,1,0,1,0,4,9,216,263,5,"Logarithms","Logarithms",TRUE,1,0,2.25,1.22,TRUE
"Logarithms for linearity","Logarithms for linearity","title",1,1,1,11,0,5,6,15,455,565,5,"Logarithms","Logarithms",TRUE,1,11,2.5,1.24,TRUE
"Taking logarithms to get","Taking logarithms to get $\boldsymbol$ {#sec-logaritmering-los-ut-x}","position",0,0,0,0,1,3,4,14,223,488,5,"Logarithms","Logarithms",TRUE,1,1,3.5,2.19,TRUE
"Log GDP","Log GDP","title",1,1,1,25,0,4,3,7,243,281,5,"Logarithms","Logarithms",TRUE,1,25,2.33,1.16,TRUE
"Using logarithms to discuss theory","Using logarithms to discuss theory","title",1,1,1,8,0,3,9,9,693,705,5,"Logarithms","Logarithms",TRUE,1,8,1,1.02,TRUE
"Chapter summary","Chapter summary","title",0,0,0,0,0,0,0,9,0,227,5,"Logarithms","Logarithms",TRUE,1,1,NA,NA,FALSE
"Exercises","Exercises","title",0,0,0,0,0,0,0,1,0,341,5,"Logarithms","Logarithms",TRUE,1,1,NA,NA,FALSE
